decoded_feature,chosen_task,reward_cond,decoded_fval_low,decoded_fval_high,fixed_fval,acc_t0,acc_t10,acc_t20,acc_t30,acc_t40,acc_t50
SL,SL,aR,2.1,2.7,2.1,0.843,0.845,0.838,0.849,0.845,0.832
SL,SL,aR,2.1,2.7,2.2,0.851,0.848,0.84,0.832,0.837,0.8280000000000001
SL,SL,aR,2.1,2.7,2.3,0.864,0.858,0.855,0.842,0.839,0.819
SL,SL,aR,2.1,2.7,2.4,0.85,0.853,0.845,0.835,0.831,0.81
SL,SL,aR,2.1,2.7,2.5,0.841,0.84,0.847,0.829,0.845,0.8240000000000001
SL,SL,aR,2.1,2.7,2.6,0.847,0.845,0.843,0.844,0.835,0.819
SL,SL,aR,2.1,2.7,2.7,0.839,0.834,0.8240000000000001,0.81,0.8029999999999999,0.804
SL,SL,aR,2.1,2.7,2.8,0.854,0.845,0.843,0.829,0.823,0.8049999999999999
SL,SL,aR,2.1,2.7,2.9,0.845,0.839,0.843,0.84,0.839,0.8240000000000001
SL,SL,aR,2.2,2.8,2.1,0.844,0.848,0.839,0.837,0.8260000000000001,0.813
SL,SL,aR,2.2,2.8,2.2,0.854,0.857,0.852,0.858,0.855,0.84
SL,SL,aR,2.2,2.8,2.3,0.864,0.85,0.843,0.839,0.848,0.8280000000000001
SL,SL,aR,2.2,2.8,2.4,0.836,0.841,0.83,0.8180000000000001,0.83,0.808
SL,SL,aR,2.2,2.8,2.5,0.853,0.854,0.852,0.842,0.842,0.827
SL,SL,aR,2.2,2.8,2.6,0.856,0.861,0.856,0.853,0.844,0.83
SL,SL,aR,2.2,2.8,2.7,0.86,0.863,0.855,0.839,0.835,0.825
SL,SL,aR,2.2,2.8,2.8,0.857,0.856,0.853,0.86,0.851,0.8180000000000001
SL,SL,aR,2.2,2.8,2.9,0.843,0.842,0.838,0.836,0.8260000000000001,0.81
SL,SL,aR,2.3,2.9,2.1,0.853,0.85,0.843,0.839,0.8220000000000001,0.8180000000000001
SL,SL,aR,2.3,2.9,2.2,0.861,0.859,0.856,0.852,0.855,0.827
SL,SL,aR,2.3,2.9,2.3,0.843,0.83,0.829,0.839,0.8280000000000001,0.806
SL,SL,aR,2.3,2.9,2.4,0.847,0.85,0.841,0.845,0.838,0.829
SL,SL,aR,2.3,2.9,2.5,0.843,0.845,0.854,0.856,0.845,0.83
SL,SL,aR,2.3,2.9,2.6,0.842,0.837,0.852,0.839,0.831,0.8089999999999999
SL,SL,aR,2.3,2.9,2.7,0.877,0.843,0.841,0.837,0.84,0.8240000000000001
SL,SL,aR,2.3,2.9,2.8,0.869,0.853,0.85,0.863,0.837,0.835
SL,SL,aR,2.3,2.9,2.9,0.854,0.854,0.846,0.835,0.835,0.833
SL,SL,aNR,2.1,2.7,2.1,0.847,0.848,0.827,0.8220000000000001,0.835,0.812
SL,SL,aNR,2.1,2.7,2.2,0.861,0.856,0.848,0.851,0.844,0.832
SL,SL,aNR,2.1,2.7,2.3,0.841,0.841,0.84,0.838,0.825,0.8109999999999999
SL,SL,aNR,2.1,2.7,2.4,0.843,0.83,0.827,0.827,0.806,0.8
SL,SL,aNR,2.1,2.7,2.5,0.854,0.852,0.839,0.84,0.8280000000000001,0.8160000000000001
SL,SL,aNR,2.1,2.7,2.6,0.854,0.851,0.834,0.835,0.8220000000000001,0.806
SL,SL,aNR,2.1,2.7,2.7,0.825,0.8260000000000001,0.8240000000000001,0.815,0.795,0.8
SL,SL,aNR,2.1,2.7,2.8,0.851,0.84,0.845,0.835,0.834,0.8180000000000001
SL,SL,aNR,2.1,2.7,2.9,0.848,0.847,0.841,0.832,0.829,0.8009999999999999
SL,SL,aNR,2.2,2.8,2.1,0.863,0.856,0.848,0.843,0.825,0.813
SL,SL,aNR,2.2,2.8,2.2,0.851,0.854,0.831,0.834,0.837,0.815
SL,SL,aNR,2.2,2.8,2.3,0.833,0.845,0.845,0.841,0.836,0.8109999999999999
SL,SL,aNR,2.2,2.8,2.4,0.837,0.834,0.832,0.827,0.808,0.813
SL,SL,aNR,2.2,2.8,2.5,0.8260000000000001,0.829,0.821,0.8280000000000001,0.83,0.808
SL,SL,aNR,2.2,2.8,2.6,0.857,0.838,0.84,0.8220000000000001,0.8240000000000001,0.8109999999999999
SL,SL,aNR,2.2,2.8,2.7,0.837,0.843,0.83,0.81,0.808,0.806
SL,SL,aNR,2.2,2.8,2.8,0.85,0.857,0.847,0.84,0.83,0.819
SL,SL,aNR,2.2,2.8,2.9,0.854,0.853,0.856,0.841,0.821,0.808
SL,SL,aNR,2.3,2.9,2.1,0.858,0.85,0.841,0.843,0.836,0.8140000000000001
SL,SL,aNR,2.3,2.9,2.2,0.832,0.838,0.825,0.839,0.834,0.812
SL,SL,aNR,2.3,2.9,2.3,0.859,0.857,0.842,0.846,0.851,0.827
SL,SL,aNR,2.3,2.9,2.4,0.849,0.835,0.827,0.825,0.815,0.8089999999999999
SL,SL,aNR,2.3,2.9,2.5,0.835,0.841,0.843,0.843,0.84,0.8240000000000001
SL,SL,aNR,2.3,2.9,2.6,0.852,0.846,0.837,0.832,0.833,0.804
SL,SL,aNR,2.3,2.9,2.7,0.846,0.839,0.846,0.827,0.817,0.8029999999999999
SL,SL,aNR,2.3,2.9,2.8,0.865,0.861,0.852,0.842,0.84,0.827
SL,SL,aNR,2.3,2.9,2.9,0.85,0.839,0.8200000000000001,0.8200000000000001,0.812,0.8
SL,SF,aR,2.1,2.7,2.1,0.836,0.772,0.679,0.589,0.5469999999999999,0.5349999999999999
SL,SF,aR,2.1,2.7,2.2,0.832,0.764,0.643,0.575,0.55,0.52
SL,SF,aR,2.1,2.7,2.3,0.838,0.763,0.652,0.5740000000000001,0.5469999999999999,0.514
SL,SF,aR,2.1,2.7,2.4,0.815,0.756,0.6799999999999999,0.5720000000000001,0.554,0.522
SL,SF,aR,2.1,2.7,2.5,0.8280000000000001,0.769,0.6699999999999999,0.602,0.524,0.526
SL,SF,aR,2.1,2.7,2.6,0.788,0.737,0.652,0.597,0.562,0.56
SL,SF,aR,2.1,2.7,2.7,0.837,0.766,0.6779999999999999,0.605,0.575,0.5509999999999999
SL,SF,aR,2.1,2.7,2.8,0.819,0.761,0.675,0.587,0.5569999999999999,0.526
SL,SF,aR,2.1,2.7,2.9,0.8160000000000001,0.728,0.635,0.567,0.55,0.532
SL,SF,aR,2.2,2.8,2.1,0.8029999999999999,0.766,0.663,0.595,0.55,0.524
SL,SF,aR,2.2,2.8,2.2,0.835,0.753,0.6799999999999999,0.627,0.585,0.515
SL,SF,aR,2.2,2.8,2.3,0.833,0.77,0.677,0.607,0.554,0.521
SL,SF,aR,2.2,2.8,2.4,0.8200000000000001,0.769,0.654,0.583,0.5449999999999999,0.5449999999999999
SL,SF,aR,2.2,2.8,2.5,0.817,0.743,0.657,0.587,0.548,0.523
SL,SF,aR,2.2,2.8,2.6,0.841,0.762,0.671,0.5700000000000001,0.56,0.546
SL,SF,aR,2.2,2.8,2.7,0.8280000000000001,0.778,0.675,0.583,0.534,0.514
SL,SF,aR,2.2,2.8,2.8,0.8260000000000001,0.74,0.669,0.61,0.55,0.538
SL,SF,aR,2.2,2.8,2.9,0.837,0.738,0.651,0.5920000000000001,0.55,0.507
SL,SF,aR,2.3,2.9,2.1,0.817,0.762,0.6679999999999999,0.577,0.5609999999999999,0.501
SL,SF,aR,2.3,2.9,2.2,0.812,0.765,0.663,0.5740000000000001,0.536,0.516
SL,SF,aR,2.3,2.9,2.3,0.8240000000000001,0.753,0.6599999999999999,0.5860000000000001,0.5589999999999999,0.511
SL,SF,aR,2.3,2.9,2.4,0.837,0.761,0.6719999999999999,0.606,0.5589999999999999,0.524
SL,SF,aR,2.3,2.9,2.5,0.8029999999999999,0.76,0.648,0.5589999999999999,0.542,0.5449999999999999
SL,SF,aR,2.3,2.9,2.6,0.813,0.737,0.637,0.581,0.5720000000000001,0.56
SL,SF,aR,2.3,2.9,2.7,0.804,0.75,0.653,0.585,0.487,0.495
SL,SF,aR,2.3,2.9,2.8,0.835,0.733,0.654,0.595,0.5720000000000001,0.526
SL,SF,aR,2.3,2.9,2.9,0.817,0.743,0.6579999999999999,0.594,0.5489999999999999,0.526
SL,SF,aNR,2.1,2.7,2.1,0.823,0.804,0.725,0.6759999999999999,0.646,0.623
SL,SF,aNR,2.1,2.7,2.2,0.831,0.785,0.725,0.669,0.64,0.63
SL,SF,aNR,2.1,2.7,2.3,0.846,0.812,0.741,0.7,0.6719999999999999,0.627
SL,SF,aNR,2.1,2.7,2.4,0.813,0.777,0.719,0.669,0.659,0.615
SL,SF,aNR,2.1,2.7,2.5,0.848,0.802,0.764,0.6970000000000001,0.6839999999999999,0.647
SL,SF,aNR,2.1,2.7,2.6,0.839,0.804,0.733,0.687,0.6659999999999999,0.617
SL,SF,aNR,2.1,2.7,2.7,0.8,0.77,0.727,0.6890000000000001,0.656,0.654
SL,SF,aNR,2.1,2.7,2.8,0.806,0.777,0.729,0.679,0.6639999999999999,0.602
SL,SF,aNR,2.1,2.7,2.9,0.842,0.8009999999999999,0.75,0.6859999999999999,0.651,0.613
SL,SF,aNR,2.2,2.8,2.1,0.832,0.802,0.743,0.6859999999999999,0.64,0.581
SL,SF,aNR,2.2,2.8,2.2,0.845,0.8029999999999999,0.76,0.671,0.645,0.5900000000000001
SL,SF,aNR,2.2,2.8,2.3,0.815,0.806,0.735,0.661,0.63,0.608
SL,SF,aNR,2.2,2.8,2.4,0.832,0.8,0.739,0.6890000000000001,0.644,0.62
SL,SF,aNR,2.2,2.8,2.5,0.8260000000000001,0.795,0.746,0.692,0.649,0.625
SL,SF,aNR,2.2,2.8,2.6,0.829,0.798,0.755,0.6930000000000001,0.6599999999999999,0.625
SL,SF,aNR,2.2,2.8,2.7,0.832,0.7969999999999999,0.747,0.677,0.6639999999999999,0.608
SL,SF,aNR,2.2,2.8,2.8,0.829,0.8140000000000001,0.757,0.719,0.675,0.629
SL,SF,aNR,2.2,2.8,2.9,0.834,0.8180000000000001,0.769,0.722,0.685,0.641
SL,SF,aNR,2.3,2.9,2.1,0.8220000000000001,0.793,0.727,0.687,0.647,0.601
SL,SF,aNR,2.3,2.9,2.2,0.819,0.788,0.735,0.679,0.613,0.608
SL,SF,aNR,2.3,2.9,2.3,0.8220000000000001,0.783,0.718,0.6910000000000001,0.657,0.636
SL,SF,aNR,2.3,2.9,2.4,0.827,0.795,0.752,0.6910000000000001,0.654,0.612
SL,SF,aNR,2.3,2.9,2.5,0.83,0.802,0.734,0.6739999999999999,0.619,0.627
SL,SF,aNR,2.3,2.9,2.6,0.845,0.8029999999999999,0.749,0.6890000000000001,0.663,0.636
SL,SF,aNR,2.3,2.9,2.7,0.804,0.779,0.726,0.6639999999999999,0.631,0.601
SL,SF,aNR,2.3,2.9,2.8,0.833,0.81,0.759,0.7070000000000001,0.663,0.642
SL,SF,aNR,2.3,2.9,2.9,0.7969999999999999,0.761,0.7130000000000001,0.6579999999999999,0.648,0.634
SF,SF,aR,2.1,2.7,2.1,0.841,0.84,0.844,0.837,0.8180000000000001,0.817
SF,SF,aR,2.1,2.7,2.2,0.8200000000000001,0.825,0.832,0.8160000000000001,0.8200000000000001,0.8140000000000001
SF,SF,aR,2.1,2.7,2.3,0.833,0.83,0.836,0.83,0.829,0.825
SF,SF,aR,2.1,2.7,2.4,0.863,0.847,0.845,0.827,0.837,0.827
SF,SF,aR,2.1,2.7,2.5,0.847,0.847,0.848,0.847,0.849,0.823
SF,SF,aR,2.1,2.7,2.6,0.847,0.843,0.837,0.836,0.835,0.8280000000000001
SF,SF,aR,2.1,2.7,2.7,0.858,0.856,0.858,0.852,0.839,0.841
SF,SF,aR,2.1,2.7,2.8,0.85,0.842,0.834,0.834,0.8180000000000001,0.8009999999999999
SF,SF,aR,2.1,2.7,2.9,0.846,0.821,0.8260000000000001,0.83,0.8240000000000001,0.8009999999999999
SF,SF,aR,2.2,2.8,2.1,0.859,0.857,0.851,0.857,0.84,0.838
SF,SF,aR,2.2,2.8,2.2,0.855,0.847,0.841,0.843,0.847,0.8200000000000001
SF,SF,aR,2.2,2.8,2.3,0.832,0.834,0.829,0.827,0.8240000000000001,0.8160000000000001
SF,SF,aR,2.2,2.8,2.4,0.846,0.842,0.83,0.825,0.834,0.825
SF,SF,aR,2.2,2.8,2.5,0.847,0.844,0.84,0.838,0.845,0.835
SF,SF,aR,2.2,2.8,2.6,0.842,0.843,0.839,0.83,0.8260000000000001,0.821
SF,SF,aR,2.2,2.8,2.7,0.855,0.855,0.847,0.842,0.845,0.829
SF,SF,aR,2.2,2.8,2.8,0.856,0.85,0.842,0.832,0.847,0.823
SF,SF,aR,2.2,2.8,2.9,0.827,0.841,0.836,0.823,0.8160000000000001,0.804
SF,SF,aR,2.3,2.9,2.1,0.8200000000000001,0.831,0.834,0.8260000000000001,0.83,0.808
SF,SF,aR,2.3,2.9,2.2,0.844,0.832,0.8220000000000001,0.8220000000000001,0.8240000000000001,0.813
SF,SF,aR,2.3,2.9,2.3,0.841,0.841,0.836,0.841,0.817,0.8260000000000001
SF,SF,aR,2.3,2.9,2.4,0.833,0.833,0.827,0.8280000000000001,0.8220000000000001,0.8220000000000001
SF,SF,aR,2.3,2.9,2.5,0.819,0.8280000000000001,0.8260000000000001,0.8180000000000001,0.819,0.8200000000000001
SF,SF,aR,2.3,2.9,2.6,0.838,0.836,0.831,0.836,0.8140000000000001,0.8140000000000001
SF,SF,aR,2.3,2.9,2.7,0.84,0.847,0.839,0.837,0.825,0.8109999999999999
SF,SF,aR,2.3,2.9,2.8,0.842,0.832,0.84,0.838,0.835,0.821
SF,SF,aR,2.3,2.9,2.9,0.843,0.834,0.8260000000000001,0.8200000000000001,0.827,0.815
SF,SF,aNR,2.1,2.7,2.1,0.836,0.819,0.8109999999999999,0.8069999999999999,0.7989999999999999,0.779
SF,SF,aNR,2.1,2.7,2.2,0.831,0.8260000000000001,0.832,0.821,0.8180000000000001,0.812
SF,SF,aNR,2.1,2.7,2.3,0.846,0.836,0.8280000000000001,0.832,0.8160000000000001,0.802
SF,SF,aNR,2.1,2.7,2.4,0.842,0.83,0.834,0.829,0.8220000000000001,0.796
SF,SF,aNR,2.1,2.7,2.5,0.85,0.8280000000000001,0.83,0.813,0.8140000000000001,0.8029999999999999
SF,SF,aNR,2.1,2.7,2.6,0.841,0.8280000000000001,0.8140000000000001,0.8109999999999999,0.8,0.79
SF,SF,aNR,2.1,2.7,2.7,0.8240000000000001,0.83,0.8280000000000001,0.8180000000000001,0.83,0.789
SF,SF,aNR,2.1,2.7,2.8,0.8240000000000001,0.827,0.8200000000000001,0.817,0.792,0.796
SF,SF,aNR,2.1,2.7,2.9,0.846,0.8200000000000001,0.8240000000000001,0.834,0.813,0.8029999999999999
SF,SF,aNR,2.2,2.8,2.1,0.855,0.847,0.841,0.833,0.821,0.8049999999999999
SF,SF,aNR,2.2,2.8,2.2,0.845,0.831,0.8240000000000001,0.812,0.813,0.808
SF,SF,aNR,2.2,2.8,2.3,0.842,0.831,0.8140000000000001,0.8089999999999999,0.8069999999999999,0.7969999999999999
SF,SF,aNR,2.2,2.8,2.4,0.821,0.817,0.8069999999999999,0.8109999999999999,0.798,0.766
SF,SF,aNR,2.2,2.8,2.5,0.851,0.834,0.851,0.8220000000000001,0.804,0.773
SF,SF,aNR,2.2,2.8,2.6,0.84,0.8240000000000001,0.835,0.831,0.8089999999999999,0.789
SF,SF,aNR,2.2,2.8,2.7,0.838,0.817,0.806,0.806,0.795,0.769
SF,SF,aNR,2.2,2.8,2.8,0.839,0.832,0.8280000000000001,0.829,0.8240000000000001,0.813
SF,SF,aNR,2.2,2.8,2.9,0.847,0.837,0.832,0.8200000000000001,0.8089999999999999,0.791
SF,SF,aNR,2.3,2.9,2.1,0.842,0.84,0.837,0.8240000000000001,0.8160000000000001,0.7969999999999999
SF,SF,aNR,2.3,2.9,2.2,0.85,0.837,0.844,0.834,0.819,0.7989999999999999
SF,SF,aNR,2.3,2.9,2.3,0.847,0.856,0.854,0.844,0.8260000000000001,0.8089999999999999
SF,SF,aNR,2.3,2.9,2.4,0.86,0.844,0.847,0.838,0.808,0.8
SF,SF,aNR,2.3,2.9,2.5,0.863,0.85,0.855,0.843,0.84,0.8109999999999999
SF,SF,aNR,2.3,2.9,2.6,0.841,0.831,0.821,0.8160000000000001,0.8069999999999999,0.792
SF,SF,aNR,2.3,2.9,2.7,0.856,0.846,0.847,0.832,0.821,0.8140000000000001
SF,SF,aNR,2.3,2.9,2.8,0.858,0.84,0.833,0.829,0.8049999999999999,0.79
SF,SF,aNR,2.3,2.9,2.9,0.813,0.808,0.7989999999999999,0.787,0.782,0.78
SF,SL,aR,2.1,2.7,2.1,0.8280000000000001,0.791,0.708,0.621,0.54,0.527
SF,SL,aR,2.1,2.7,2.2,0.806,0.769,0.685,0.591,0.521,0.509
SF,SL,aR,2.1,2.7,2.3,0.833,0.7969999999999999,0.6890000000000001,0.611,0.554,0.52
SF,SL,aR,2.1,2.7,2.4,0.843,0.781,0.6970000000000001,0.616,0.579,0.532
SF,SL,aR,2.1,2.7,2.5,0.842,0.79,0.694,0.62,0.5700000000000001,0.536
SF,SL,aR,2.1,2.7,2.6,0.84,0.795,0.7110000000000001,0.616,0.573,0.518
SF,SL,aR,2.1,2.7,2.7,0.8180000000000001,0.768,0.65,0.579,0.542,0.52
SF,SL,aR,2.1,2.7,2.8,0.856,0.79,0.702,0.5840000000000001,0.5509999999999999,0.521
SF,SL,aR,2.1,2.7,2.9,0.856,0.783,0.687,0.605,0.558,0.505
SF,SL,aR,2.2,2.8,2.1,0.838,0.8109999999999999,0.694,0.61,0.538,0.495
SF,SL,aR,2.2,2.8,2.2,0.844,0.786,0.7050000000000001,0.629,0.546,0.514
SF,SL,aR,2.2,2.8,2.3,0.8160000000000001,0.758,0.688,0.608,0.5740000000000001,0.544
SF,SL,aR,2.2,2.8,2.4,0.841,0.784,0.673,0.616,0.5369999999999999,0.5
SF,SL,aR,2.2,2.8,2.5,0.854,0.784,0.7070000000000001,0.603,0.536,0.524
SF,SL,aR,2.2,2.8,2.6,0.8180000000000001,0.753,0.656,0.596,0.563,0.54
SF,SL,aR,2.2,2.8,2.7,0.843,0.768,0.7070000000000001,0.624,0.5640000000000001,0.498
SF,SL,aR,2.2,2.8,2.8,0.836,0.766,0.671,0.577,0.534,0.504
SF,SL,aR,2.2,2.8,2.9,0.847,0.791,0.667,0.5569999999999999,0.544,0.521
SF,SL,aR,2.3,2.9,2.1,0.829,0.791,0.7050000000000001,0.602,0.5489999999999999,0.525
SF,SL,aR,2.3,2.9,2.2,0.855,0.7989999999999999,0.694,0.63,0.5660000000000001,0.526
SF,SL,aR,2.3,2.9,2.3,0.8200000000000001,0.778,0.7030000000000001,0.627,0.5529999999999999,0.525
SF,SL,aR,2.3,2.9,2.4,0.852,0.788,0.712,0.585,0.531,0.524
SF,SL,aR,2.3,2.9,2.5,0.83,0.78,0.6779999999999999,0.5740000000000001,0.5549999999999999,0.513
SF,SL,aR,2.3,2.9,2.6,0.861,0.793,0.694,0.614,0.524,0.521
SF,SL,aR,2.3,2.9,2.7,0.81,0.774,0.6990000000000001,0.5820000000000001,0.542,0.498
SF,SL,aR,2.3,2.9,2.8,0.836,0.786,0.698,0.622,0.548,0.502
SF,SL,aR,2.3,2.9,2.9,0.8260000000000001,0.758,0.6859999999999999,0.583,0.5369999999999999,0.521
SF,SL,aNR,2.1,2.7,2.1,0.8280000000000001,0.789,0.737,0.681,0.625,0.579
SF,SL,aNR,2.1,2.7,2.2,0.839,0.813,0.771,0.6970000000000001,0.647,0.5860000000000001
SF,SL,aNR,2.1,2.7,2.3,0.8240000000000001,0.782,0.74,0.6619999999999999,0.618,0.5780000000000001
SF,SL,aNR,2.1,2.7,2.4,0.827,0.795,0.751,0.694,0.631,0.593
SF,SL,aNR,2.1,2.7,2.5,0.846,0.7989999999999999,0.782,0.7130000000000001,0.636,0.593
SF,SL,aNR,2.1,2.7,2.6,0.838,0.764,0.712,0.671,0.615,0.556
SF,SL,aNR,2.1,2.7,2.7,0.842,0.793,0.747,0.669,0.591,0.577
SF,SL,aNR,2.1,2.7,2.8,0.825,0.784,0.724,0.6739999999999999,0.618,0.5820000000000001
SF,SL,aNR,2.1,2.7,2.9,0.835,0.802,0.737,0.659,0.604,0.5509999999999999
SF,SL,aNR,2.2,2.8,2.1,0.812,0.783,0.738,0.659,0.608,0.567
SF,SL,aNR,2.2,2.8,2.2,0.838,0.8109999999999999,0.746,0.706,0.622,0.5609999999999999
SF,SL,aNR,2.2,2.8,2.3,0.808,0.767,0.741,0.6799999999999999,0.624,0.5680000000000001
SF,SL,aNR,2.2,2.8,2.4,0.821,0.7989999999999999,0.755,0.7030000000000001,0.648,0.5860000000000001
SF,SL,aNR,2.2,2.8,2.5,0.831,0.798,0.769,0.712,0.648,0.606
SF,SL,aNR,2.2,2.8,2.6,0.835,0.792,0.748,0.6719999999999999,0.635,0.5780000000000001
SF,SL,aNR,2.2,2.8,2.7,0.819,0.775,0.741,0.65,0.595,0.5489999999999999
SF,SL,aNR,2.2,2.8,2.8,0.8240000000000001,0.794,0.74,0.6639999999999999,0.625,0.5569999999999999
SF,SL,aNR,2.2,2.8,2.9,0.835,0.8089999999999999,0.737,0.652,0.612,0.56
SF,SL,aNR,2.3,2.9,2.1,0.844,0.81,0.753,0.683,0.639,0.556
SF,SL,aNR,2.3,2.9,2.2,0.852,0.813,0.773,0.679,0.622,0.571
SF,SL,aNR,2.3,2.9,2.3,0.834,0.785,0.753,0.6799999999999999,0.636,0.579
SF,SL,aNR,2.3,2.9,2.4,0.845,0.8029999999999999,0.762,0.681,0.654,0.56
SF,SL,aNR,2.3,2.9,2.5,0.84,0.791,0.745,0.673,0.636,0.5569999999999999
SF,SL,aNR,2.3,2.9,2.6,0.81,0.772,0.736,0.677,0.616,0.5880000000000001
SF,SL,aNR,2.3,2.9,2.7,0.815,0.8,0.732,0.6599999999999999,0.621,0.585
SF,SL,aNR,2.3,2.9,2.8,0.833,0.768,0.719,0.625,0.577,0.554
SF,SL,aNR,2.3,2.9,2.9,0.842,0.804,0.751,0.671,0.635,0.5760000000000001
